timestamp_utc;looted_by__alliance;looted_by__guild;looted_by__name;item_id;item_name;quantity;looted_from__alliance;looted_from__guild;looted_from__name
2022-04-20T02:44:40.862Z;DIOR;EscaIation;Heros1;T5_CAPEITEM_FW_MARTLOCK@3;Expert's Martlock Cape;1;EVICT;Take lt Easy;OverLockeed
2022-04-20T02:44:41.177Z;DIOR;EscaIation;Heros1;T7_POTION_STONESKIN;Major Resistance Potion;2;EVICT;Take lt Easy;OverLockeed
2022-04-20T02:44:41.483Z;DIOR;EscaIation;Heros1;T6_BAG;Master's Bag;1;EVICT;Take lt Easy;OverLockeed
2022-04-20T02:44:42.787Z;DIOR;EscaIation;zJackson;T5_2H_HOLYSTAFF_HELL@3;Expert's Fallen Staff;1;EVICT;Take lt Easy;sheylameusako
2022-04-20T02:44:43.197Z;DIOR;EscaIation;zJackson;T7_HEAD_PLATE_SET2@1;Grandmaster's Knight Helmet;1;EVICT;Take lt Easy;sheylameusako
2022-04-20T02:44:43.234Z;DIOR;EscaIation;Benmage;T7_MEAL_OMELETTE@2;Pork Omelette;1;EVICT;Take lt Easy;sheylameusako
2022-04-20T02:44:43.383Z;DIOR;EscaIation;M0RZ4;T4_CAPEITEM_FW_LYMHURST@3;Adept's Lymhurst Cape;1;EVICT;Take lt Easy;sheylameusako
2022-04-20T02:44:43.745Z;DIOR;EscaIation;zJackson;T5_SHOES_CLOTH_AVALON@3;Expert's Sandals of Purity;1;EVICT;Take lt Easy;sheylameusako
2022-04-20T02:44:43.759Z;DIOR;EscaIation;Benmage;T7_POTION_STONESKIN;Major Resistance Potion;1;EVICT;Take lt Easy;sheylameusako
2022-04-20T02:44:51.022Z;DIOR;EscaIation;zstrafe;T6_BAG;Master's Bag;1;EVICT;Take lt Easy;Ry4nxDx
2022-04-20T02:44:51.395Z;DIOR;EscaIation;zstrafe;T5_2H_MACE_MORGANA@2;Expert's Camlann Mace;1;EVICT;Take lt Easy;Ry4nxDx
2022-04-20T02:44:51.671Z;DIOR;EscaIation;zstrafe;T6_SHOES_LEATHER_SET2@2;Master's Hunter Shoes;1;EVICT;Take lt Easy;Ry4nxDx
2022-04-20T02:44:52.077Z;DIOR;EscaIation;zstrafe;T6_ARMOR_PLATE_HELL@2;Master's Demon Armor;1;EVICT;Take lt Easy;Ry4nxDx
2022-04-20T02:44:52.445Z;DIOR;EscaIation;zstrafe;T4_CAPEITEM_FW_MARTLOCK@3;Adept's Martlock Cape;1;EVICT;Take lt Easy;Ry4nxDx
2022-04-20T02:44:52.759Z;DIOR;EscaIation;zstrafe;T7_HEAD_PLATE_SET2@1;Grandmaster's Knight Helmet;1;EVICT;Take lt Easy;Ry4nxDx
2022-04-20T02:44:53.208Z;DIOR;EscaIation;zstrafe;T7_POTION_STONESKIN;Major Resistance Potion;3;EVICT;Take lt Easy;Ry4nxDx
2022-04-20T02:45:02.959Z;DIOR;EscaIation;MatheusMRC;T6_2H_NATURESTAFF_HELL@2;Master's Blight Staff;1;EVICT;Take lt Easy;MCLOFFA
2022-04-20T02:45:03.177Z;DIOR;EscaIation;MatheusMRC;T8_HEAD_LEATHER_SET3;Elder's Assassin Hood;1;EVICT;Take lt Easy;MCLOFFA
2022-04-20T02:45:03.572Z;DIOR;EscaIation;MatheusMRC;T4_CAPEITEM_FW_LYMHURST@3;Adept's Lymhurst Cape;1;EVICT;Take lt Easy;MCLOFFA
2022-04-20T02:45:05.630Z;DIOR;EscaIation;N97A;T8_2H_ENIGMATICSTAFF;Elder's Enigmatic Staff;1;EVICT;Take lt Easy;TekomoNakombi
2022-04-20T02:45:05.864Z;DIOR;EscaIation;Heros1;T5_TRASH;Trash;1;EVICT;Take lt Easy;PaladinoLoko
2022-04-20T02:45:05.927Z;DIOR;EscaIation;N97A;T8_HEAD_LEATHER_SET3;Elder's Assassin Hood;1;EVICT;Take lt Easy;TekomoNakombi
2022-04-20T02:45:06.083Z;DIOR;EscaIation;Heros1;T6_HEAD_LEATHER_SET3@2;Master's Assassin Hood;1;EVICT;Take lt Easy;PaladinoLoko
2022-04-20T02:45:06.253Z;DIOR;EscaIation;N97A;T5_ARMOR_PLATE_KEEPER@3;Expert's Judicator Armor;1;EVICT;Take lt Easy;TekomoNakombi
2022-04-20T02:45:06.364Z;DIOR;EscaIation;Heros1;T4_CAPEITEM_FW_FORTSTERLING@3;Adept's Fort Sterling Cape;1;EVICT;Take lt Easy;PaladinoLoko
2022-04-20T02:45:06.639Z;DIOR;EscaIation;Benmage;T7_POTION_STONESKIN;Major Resistance Potion;2;EVICT;Take lt Easy;PaladinoLoko
2022-04-20T02:45:06.639Z;DIOR;EscaIation;N97A;T8_SHOES_LEATHER_SET2;Elder's Hunter Shoes;1;EVICT;Take lt Easy;TekomoNakombi
2022-04-20T02:45:06.669Z;DIOR;EscaIation;Heros1;T6_SHOES_LEATHER_SET2@2;Master's Hunter Shoes;1;EVICT;Take lt Easy;PaladinoLoko
2022-04-20T02:45:06.892Z;DIOR;EscaIation;N97A;T7_POTION_STONESKIN;Major Resistance Potion;2;EVICT;Take lt Easy;TekomoNakombi
2022-04-20T02:45:07.020Z;DIOR;EscaIation;SoloOoM;T5_MOUNT_COUGAR_KEEPER@1;Swiftclaw;1;EVICT;Take lt Easy;TekomoNakombi
2022-04-20T02:45:07.191Z;DIOR;EscaIation;N97A;UNIQUE_GVGTOKEN_GENERIC;Siphoned Energy;6;EVICT;Take lt Easy;TekomoNakombi
2022-04-20T02:45:09.783Z;GUTS;KraKen 69;SawLynn;T4_BAG@1;Adept's Bag;1;;Militant;dunt
2022-04-20T02:45:10.198Z;DIOR;EscaIation;zstrafe;T6_SHOES_CLOTH_SET1@2;Master's Scholar Sandals;1;EVICT;Take lt Easy;MCLOFFA
2022-04-20T02:45:10.597Z;DIOR;EscaIation;zstrafe;T7_POTION_STONESKIN;Major Resistance Potion;2;EVICT;Take lt Easy;MCLOFFA
2022-04-20T02:45:16.597Z;0UT;DYST0PIA;EAMCARRY;T3_MOUNT_HORSE;Journeyman's Riding Horse;1;GUTS;KraKen 69;apm9
2022-04-20T02:45:16.771Z;0UT;DYST0PIA;EAMCARRY;T4_SHOES_GATHERER_ORE@1;Adept's Miner Workboots;1;GUTS;KraKen 69;apm9
2022-04-20T02:45:16.942Z;0UT;DYST0PIA;EAMCARRY;T4_MAIN_ROCKMACE_KEEPER;Adept's Bedrock Mace;1;GUTS;KraKen 69;apm9
2022-04-20T02:45:17.098Z;0UT;DYST0PIA;EAMCARRY;T5_HEAD_LEATHER_SET1;Expert's Mercenary Hood;1;GUTS;KraKen 69;apm9
2022-04-20T02:45:20.988Z;DIOR;EscaIation;MatheusMRC;T4_HEAD_CLOTH_ROYAL@3;Adept's Royal Cowl;1;EVICT;Take lt Easy;akaballan
2022-04-20T02:45:21.240Z;DIOR;EscaIation;MatheusMRC;T6_2H_HOLYSTAFF_HELL@2;Master's Fallen Staff;1;EVICT;Take lt Easy;akaballan
2022-04-20T02:45:21.472Z;DIOR;EscaIation;MatheusMRC;T4_CAPEITEM_FW_CAERLEON@3;Adept's Caerleon Cape;1;EVICT;Take lt Easy;akaballan
2022-04-20T02:45:21.988Z;DIOR;EscaIation;iCrain;T5_MOUNT_COUGAR_KEEPER@1;Swiftclaw;1;EVICT;Take lt Easy;akaballan
2022-04-20T02:45:22.698Z;DIOR;EscaIation;Jez0r;T5_TRASH;Trash;1;EVICT;Take lt Easy;COELHITOS
2022-04-20T02:45:22.988Z;DIOR;EscaIation;Jez0r;T7_HEAD_LEATHER_SET3@1;Grandmaster's Assassin Hood;1;EVICT;Take lt Easy;COELHITOS
2022-04-20T02:45:23.208Z;0UT;DYST0PIA;EAMCARRY;T5_MOUNT_COUGAR_KEEPER@1;Swiftclaw;1;EVICT;Take lt Easy;MCLOFFA
2022-04-20T02:45:23.270Z;DIOR;EscaIation;Jez0r;T5_ARMOR_LEATHER_HELL@3;Expert's Hellion Jacket;1;EVICT;Take lt Easy;COELHITOS
2022-04-20T02:45:23.542Z;DIOR;EscaIation;Jez0r;T5_MOUNT_COUGAR_KEEPER@1;Swiftclaw;1;EVICT;Take lt Easy;COELHITOS
2022-04-20T02:45:23.691Z;DIOR;EscaIation;Jez0r;T7_POTION_STONESKIN;Major Resistance Potion;3;EVICT;Take lt Easy;COELHITOS
2022-04-20T02:45:24.066Z;DIOR;EscaIation;Heros1;T6_2H_TWINSCYTHE_HELL@1;Master's Soulscythe;1;EVICT;Take lt Easy;PXocs
2022-04-20T02:45:24.472Z;DIOR;EscaIation;Heros1;T5_ARMOR_PLATE_KEEPER@3;Expert's Judicator Armor;1;EVICT;Take lt Easy;PXocs
2022-04-20T02:45:25.160Z;DIOR;EscaIation;SoloOoM;T4_CAPEITEM_FW_MARTLOCK@3;Adept's Martlock Cape;1;EVICT;Take lt Easy;PXocs
2022-04-20T02:45:25.482Z;DIOR;EscaIation;SoloOoM;T7_SHOES_LEATHER_SET2@1;Grandmaster's Hunter Shoes;1;EVICT;Take lt Easy;PXocs
2022-04-20T02:45:28.363Z;T4K3;The Slap;Pipeexx;T5_2H_ENIGMATICORB_MORGANA@3;Expert's Malevolent Locus;1;EVICT;Take lt Easy;DBaan
2022-04-20T02:45:28.551Z;T4K3;The Slap;Pipeexx;T6_HEAD_LEATHER_SET3@2;Master's Assassin Hood;1;EVICT;Take lt Easy;DBaan
2022-04-20T02:45:28.763Z;T4K3;The Slap;Pipeexx;T5_ARMOR_PLATE_KEEPER@2;Expert's Judicator Armor;1;EVICT;Take lt Easy;DBaan
2022-04-20T02:45:29.687Z;T4K3;The Slap;Pipeexx;T7_POTION_STONESKIN;Major Resistance Potion;1;EVICT;Take lt Easy;DBaan
2022-04-20T02:45:30.176Z;T4K3;The Slap;Pipeexx;T6_SHOES_LEATHER_SET2@2;Master's Hunter Shoes;1;EVICT;Take lt Easy;DBaan
2022-04-20T02:48:17.050Z;;Militant;l7awli;T5_2H_MACE_MORGANA@2;Expert's Camlann Mace;1;DIOR;EscaIation;ManickS
2022-04-20T02:48:17.527Z;;Militant;l7awli;T8_TRASH;Trash;1;DIOR;EscaIation;ManickS
2022-04-20T02:48:17.643Z;;Militant;Sokakuh;T7_HEAD_LEATHER_SET3;Grandmaster's Assassin Hood;1;DIOR;EscaIation;ManickS
2022-04-20T02:48:17.674Z;;Militant;ErinMTFK;T7_SHOES_LEATHER_SET2@1;Grandmaster's Hunter Shoes;1;DIOR;EscaIation;ManickS
2022-04-20T02:48:17.862Z;;Militant;l7awli;T8_TRASH;Trash;1;DIOR;EscaIation;ManickS
2022-04-20T02:48:18.065Z;;Militant;ErinMTFK;UNIQUE_MOUNT_BAT_PERSONAL;Spectral Bat;1;DIOR;EscaIation;ManickS
2022-04-20T02:49:14.125Z;;Militant;TwoFox;T6_2H_DAGGER_KATAR_AVALON@3;Master's Bridled Fury;1;DIOR;EscaIation;EpikJest
2022-04-20T02:49:14.890Z;;Militant;TwoFox;T8_ARMOR_CLOTH_SET2@1;Elder's Cleric Robe;1;DIOR;EscaIation;EpikJest
2022-04-20T02:49:14.943Z;EVICT;Take lt Easy;Eterninho;T7_HEAD_LEATHER_MORGANA@3;Grandmaster's Stalker Hood;1;DIOR;EscaIation;PVPVP
2022-04-20T02:49:15.084Z;;Militant;TwoFox;T8_ARMOR_CLOTH_SET2@1;Elder's Cleric Robe;1;DIOR;EscaIation;EpikJest
2022-04-20T02:49:15.314Z;EVICT;Take lt Easy;Eterninho;T7_2H_DAGGER_KATAR_AVALON@3;Grandmaster's Bridled Fury;1;DIOR;EscaIation;PVPVP
2022-04-20T02:49:15.659Z;EVICT;Take lt Easy;Eterninho;T6_SHOES_CLOTH_ROYAL@2;Master's Royal Sandals;1;DIOR;EscaIation;PVPVP
2022-04-20T02:49:15.752Z;;Militant;TwoFox;T8_HEAD_LEATHER_SET3@2;Elder's Assassin Hood;1;DIOR;EscaIation;EpikJest
2022-04-20T02:49:15.834Z;EVICT;Take lt Easy;Eterninho;T6_SHOES_CLOTH_ROYAL@2;Master's Royal Sandals;1;DIOR;EscaIation;PVPVP
2022-04-20T02:49:15.894Z;EVICT;Take lt Easy;Eterninho;T8_ARMOR_CLOTH_SET2@1;Elder's Cleric Robe;1;DIOR;EscaIation;PVPVP
2022-04-20T02:49:16.187Z;EVICT;Take lt Easy;Eterninho;T4_CAPEITEM_FW_LYMHURST@3;Adept's Lymhurst Cape;1;DIOR;EscaIation;PVPVP
2022-04-20T02:49:16.671Z;;Militant;TwoFox;T6_SHOES_CLOTH_ROYAL@3;Master's Royal Sandals;1;DIOR;EscaIation;EpikJest
2022-04-20T02:49:16.747Z;DIOR;EscaIation;N97A;T8_SHOES_CLOTH_SET3;Elder's Mage Sandals;1;DIOR;EscaIation;CarbinePhx
2022-04-20T02:49:17.019Z;DIOR;EscaIation;N97A;T4_CAPEITEM_KEEPER@3;Adept's Keeper Cape;1;DIOR;EscaIation;CarbinePhx
2022-04-20T02:49:19.611Z;DIOR;EscaIation;N97A;T6_BAG;Master's Bag;1;DIOR;EscaIation;EpikJest
2022-04-20T02:49:19.882Z;;;ManinGus;T5_MOUNT_GREYWOLF_FW_CAERLEON;Saddled Greywolf;1;DIOR;EscaIation;PVPVP
2022-04-20T02:49:20.021Z;DIOR;EscaIation;N97A;T5_CAPEITEM_FW_LYMHURST@3;Expert's Lymhurst Cape;1;DIOR;EscaIation;EpikJest
2022-04-20T02:49:20.238Z;DIOR;EscaIation;N97A;T8_MEAL_STEW@2;Beef Stew;1;DIOR;EscaIation;EpikJest
2022-04-20T02:49:20.627Z;DIOR;EscaIation;N97A;T7_POTION_STONESKIN;Major Resistance Potion;6;DIOR;EscaIation;EpikJest
2022-04-20T02:49:22.636Z;;Militant;Ziddic;T5_MOUNT_GREYWOLF_FW_CAERLEON;Saddled Greywolf;1;DIOR;EscaIation;EpikJest
2022-04-20T02:49:24.488Z;;Militant;Ziddic;T5_MOUNT_GREYWOLF_FW_CAERLEON;Saddled Greywolf;1;DIOR;EscaIation;CarbinePhx
2022-04-20T02:49:25.776Z;;;ManinGus;T6_2H_ENIGMATICSTAFF@2;Master's Enigmatic Staff;1;DIOR;EscaIation;Sleepkava
2022-04-20T02:49:26.017Z;;;ManinGus;T6_HEAD_LEATHER_SET3@2;Master's Assassin Hood;1;DIOR;EscaIation;Sleepkava
2022-04-20T02:49:26.236Z;;;ManinGus;T6_ARMOR_CLOTH_AVALON@2;Master's Robe of Purity;1;DIOR;EscaIation;Sleepkava
2022-04-20T02:49:26.299Z;GOZU;7 Segundos;piero136459;T6_OFF_HORN_KEEPER@2;Master's Mistcaller;1;OOPS;Different Cloth;FabianMakielt
2022-04-20T02:49:26.484Z;GOZU;7 Segundos;piero136459;T8_HEAD_LEATHER_SET3;Elder's Assassin Hood;1;OOPS;Different Cloth;FabianMakielt
2022-04-20T02:49:26.601Z;;;ManinGus;T6_SHOES_PLATE_UNDEAD@2;Master's Graveguard Boots;1;DIOR;EscaIation;Sleepkava
2022-04-20T02:49:26.828Z;GOZU;7 Segundos;piero136459;T5_ARMOR_LEATHER_HELL@3;Expert's Hellion Jacket;1;OOPS;Different Cloth;FabianMakielt
2022-04-20T02:49:27.185Z;GOZU;7 Segundos;piero136459;T6_2H_HOLYSTAFF;Master's Great Holy Staff;1;OOPS;Different Cloth;FabianMakielt
2022-04-20T02:49:27.439Z;GOZU;7 Segundos;piero136459;T7_POTION_STONESKIN;Major Resistance Potion;2;OOPS;Different Cloth;FabianMakielt
2022-04-20T02:49:28.032Z;GOZU;7 Segundos;xXLINKOOSXx;T4_BAG;Adept's Bag;1;OOPS;Different Cloth;FabianMakielt
2022-04-20T02:49:28.263Z;GOZU;7 Segundos;piero136459;T6_CAPE;Master's Cape;1;OOPS;Different Cloth;FabianMakielt
2022-04-20T02:49:28.424Z;;Militant;SugarcoldB2;T5_RELIC;Expert's Relic;1;DIOR;EscaIation;PVPVP
2022-04-20T02:49:30.045Z;DIOR;EscaIation;N97A;T4_ARMOR_PLATE_KEEPER@3;Adept's Judicator Armor;1;DIOR;EscaIation;KoronaVirus19
2022-04-20T02:49:30.377Z;DIOR;EscaIation;N97A;T6_2H_ENIGMATICSTAFF@2;Master's Enigmatic Staff;1;DIOR;EscaIation;KoronaVirus19
2022-04-20T02:49:30.723Z;DIOR;EscaIation;N97A;T6_SHOES_CLOTH_SET1@2;Master's Scholar Sandals;1;DIOR;EscaIation;KoronaVirus19
2022-04-20T02:49:30.815Z;DIOR;EscaIation;zJackson;T5_2H_KNUCKLES_MORGANA@3;Expert's Ravenstrike Cestus;1;EVICT;Consequence;Jokerfrown2
2022-04-20T02:49:31.111Z;DIOR;EscaIation;zJackson;T4_SHOES_CLOTH_ROYAL@3;Adept's Royal Sandals;1;EVICT;Consequence;Jokerfrown2
2022-04-20T02:49:31.266Z;DIOR;EscaIation;N97A;T4_CAPEITEM_FW_MARTLOCK@3;Adept's Martlock Cape;1;DIOR;EscaIation;KoronaVirus19
2022-04-20T02:49:32.270Z;DIOR;Elevate;YonkoSSJGOD;T6_MAIN_RAPIER_MORGANA@3;Master's Bloodletter;1;;Militant;foxglovezinho
2022-04-20T02:49:32.486Z;DIOR;Elevate;YonkoSSJGOD;T6_OFF_SPIKEDSHIELD_MORGANA@3;Master's Facebreaker;1;;Militant;foxglovezinho
2022-04-20T02:49:32.720Z;DIOR;Elevate;YonkoSSJGOD;T6_BAG@1;Master's Bag;1;;Militant;foxglovezinho
2022-04-20T02:49:32.963Z;DIOR;Elevate;YonkoSSJGOD;T7_POTION_STONESKIN;Major Resistance Potion;2;;Militant;foxglovezinho
2022-04-20T02:49:33.237Z;DIOR;Elevate;YonkoSSJGOD;T6_SHOES_LEATHER_SET3@3;Master's Assassin Shoes;1;;Militant;foxglovezinho
2022-04-20T02:49:33.435Z;DIOR;EscaIation;N97A;T8_HEAD_LEATHER_SET3;Elder's Assassin Hood;1;DIOR;EscaIation;JJordanH
2022-04-20T02:49:33.643Z;DIOR;EscaIation;N97A;T8_2H_KNUCKLES_SET3@1;Elder's Spiked Gauntlets;1;DIOR;EscaIation;JJordanH
2022-04-20T02:49:33.976Z;DIOR;EscaIation;N97A;T8_ARMOR_CLOTH_SET2;Elder's Cleric Robe;1;DIOR;EscaIation;JJordanH
2022-04-20T02:49:35.385Z;DIOR;EscaIation;Heros1;T6_TRASH;Trash;1;EVICT;Consequence;LesheroOP
2022-04-20T02:49:35.705Z;DIOR;EscaIation;N97A;T6_SHOES_CLOTH_ROYAL@2;Master's Royal Sandals;1;DIOR;EscaIation;JJordanH
2022-04-20T02:49:35.736Z;DIOR;EscaIation;Heros1;T8_TRASH;Trash;1;EVICT;Consequence;LesheroOP
2022-04-20T02:49:35.769Z;DIOR;EscaIation;zstrafe;T4_BAG@1;Adept's Bag;1;DIOR;EscaIation;KoronaVirus19
2022-04-20T02:49:36.098Z;DIOR;EscaIation;Heros1;T5_ARMOR_CLOTH_AVALON@3;Expert's Robe of Purity;1;EVICT;Consequence;LesheroOP
2022-04-20T02:49:36.224Z;DIOR;EscaIation;zstrafe;T7_POTION_STONESKIN;Major Resistance Potion;1;DIOR;EscaIation;KoronaVirus19
2022-04-20T02:49:36.704Z;DIOR;EscaIation;Heros1;T8_SHOES_CLOTH_SET1;Elder's Scholar Sandals;1;EVICT;Consequence;LesheroOP
2022-04-20T02:49:37.080Z;DIOR;EscaIation;Heros1;T5_MOUNT_COUGAR_KEEPER@1;Swiftclaw;1;EVICT;Consequence;LesheroOP
2022-04-20T02:49:37.325Z;ARCH;Awful Company;iBjornIRONSIDEE;T5_BAG;Expert's Bag;1;EVICT;Consequence;Jokerfrown2
2022-04-20T02:49:37.487Z;GUTS;KraKen 69;SawLynn;T7_POTION_STONESKIN;Major Resistance Potion;2;DIOR;EscaIation;PVPVP
2022-04-20T02:49:37.673Z;ARCH;Awful Company;iBjornIRONSIDEE;T5_MOUNT_COUGAR_KEEPER@1;Swiftclaw;1;EVICT;Consequence;Jokerfrown2
2022-04-20T02:49:37.830Z;ARCH;Awful Company;iBjornIRONSIDEE;T7_POTION_STONESKIN;Major Resistance Potion;3;EVICT;Consequence;Jokerfrown2
2022-04-20T02:49:38.159Z;ARCH;Awful Company;iBjornIRONSIDEE;T8_MEAL_STEW@1;Beef Stew;1;EVICT;Consequence;Jokerfrown2
2022-04-20T02:49:38.977Z;DIOR;EscaIation;N97A;T6_HEAD_LEATHER_ROYAL@2;Master's Royal Hood;1;DIOR;EscaIation;BlueDawn
2022-04-20T02:49:39.203Z;DIOR;EscaIation;N97A;T7_2H_DUALSCIMITAR_UNDEAD@3;Grandmaster's Galatine Pair;1;DIOR;EscaIation;BlueDawn
2022-04-20T02:49:39.724Z;0UT;DYST0PIA;EAMCARRY;T4_CAPEITEM_FW_FORTSTERLING@3;Adept's Fort Sterling Cape;1;DIOR;EscaIation;iCrain
2022-04-20T02:49:39.896Z;0UT;DYST0PIA;EAMCARRY;T8_ARMOR_CLOTH_SET2;Elder's Cleric Robe;1;DIOR;EscaIation;iCrain
2022-04-20T02:49:39.904Z;T4K3;The Slap;kowatera;T8_MEAL_SANDWICH@2;Beef Sandwich;1;;Militant;foxglovezinho
2022-04-20T02:49:40.128Z;0UT;DYST0PIA;EAMCARRY;T6_2H_HOLYSTAFF_HELL@2;Master's Fallen Staff;1;DIOR;EscaIation;iCrain
2022-04-20T02:49:40.563Z;0UT;DYST0PIA;EAMCARRY;T5_MOUNT_COUGAR_KEEPER@1;Swiftclaw;1;DIOR;EscaIation;iCrain
2022-04-20T02:49:41.013Z;0UT;DYST0PIA;EAMCARRY;T8_SHOES_CLOTH_SET1;Elder's Scholar Sandals;1;DIOR;EscaIation;iCrain
2022-04-20T02:49:41.138Z;DIOR;EscaIation;zstrafe;UNIQUE_CONSUMABLE_EVENT_EASTER_2020_EGG;Surprise Egg;14;DIOR;EscaIation;JJordanH
2022-04-20T02:49:41.315Z;0UT;DYST0PIA;EAMCARRY;T5_MOUNT_COUGAR_KEEPER@1;Swiftclaw;1;DIOR;EscaIation;iCrain
